node_name,inferred_chromosome_count,ml_probability
Deuterostomia,10,0.44186787800140076
Pecten_maximus,19,1.0
Ambulacraria,11,0.4814154034688451
Branchiostoma_floridae,19,1.0
Echinodermata,11,0.540399675313585
Schizocardium_californicum,23,1.0
Eleutherozoa,23,0.43104062615904093
Crinoidea,11,0.8698764042725872
Asterozoa,23,0.5035294505682313
Antedon,11,0.9982977798714553
Leptometra_celtica,11,1.0
Echinozoa,23,0.35655964931269873
Asteroidea,22,0.9550681566787482
Ophiuroidea2,23,0.7904884353047504
Antedon_bifida,11,1.0
Antedon_mediterranea,11,1.0
Echinoidea,22,0.7022211344332405
Holothuroidea,23,0.9860194865855619
Spinulosida,22,0.9645627979715918
Forcipulatida,22,0.9972001840187799
Ophiura_sarsii,19,1.0
Ophiuroidea1,25,0.5882406158357714
Euechinoidea,21,0.6041975843512863
Diadema_setosum,22,1.0
Dendrochirotida,23,0.9600921941929729
Holothuriidae,23,0.9964482601136067
Valvatida2,22,0.9491954083179739
Echinaster_sepositus,22,1.0
Forcipulatidae2,22,0.9983439139137542
Marthasterias_glacialis,22,1.0
Ophiurida,25,0.8791063161502325
Astrospartus_mediterraneus,23,1.0
Camarodonta2,21,0.9934432488159153
Arbacia_lixula,22,1.0
Stichopodidae,23,0.980473726551684
Colochirus_anceps,23,1.0
Holothuria_leucospilota,23,1.0
Holothuria_scabra,23,1.0
Paxillosida,22,0.8732336222204778
Valvatida1,22,0.9879528621893316
Forcipulatidae1,22,0.9986836999463136
Pycnopodia_helianthoides,22,1.0
Amphiura_filiformis,20,1.0
Ophiodermatidae,25,0.9940836948822758
Camarodonta1,21,0.6099133923979223
Echinometridae,21,0.9967426989172112
Apostichopus_japonicus,23,1.0
Stichopus,23,0.9997067121201911
Luidia_sarsii,22,1.0
Astropecten_irregularis,22,1.0
Asterinidae,22,0.9787371778224375
Asterina_phylactica,22,1.0
Asterias2,22,0.9887721156687891
Pisaster_ochraceus,22,1.0
Ophioderma_longicauda,25,1.0
Ophiocomina_nigra,25,1.0
Toxopneustidae,19,0.6114171331760656
Mesocentrotus_franciscanus,21,1.0
Echinometra_lucunter,21,1.0
Heliocidaris,21,0.9991628979959857
Stichopus_monotuberculatus,23,1.0
Stichopus_chloronotus,23,1.0
Patiria_pectinifera,22,1.0
Anseropoda_placenta,22,1.0
Asterias1,22,0.9995591450922594
Plazaster_borealis,22,1.0
Lytechinus,19,0.999565551806215
Sphaerechinus_granularis,20,1.0
Heliocidaris_tuberculata,21,1.0
Heliocidaris_erythrogramma,21,1.0
Asterias_amurensis,22,1.0
Asterias_rubens,22,1.0
Lytechinus_variegatus,19,1.0
Lytechinus_pictus,19,1.0
