node_name,inferred_chromosome_count,ml_probability,expected_gains,expected_losses,expected_duplications
Deuterostomia,24,2.1797791415089073e-24,,,
Ambulacraria,21,1.1028537907537359e-22,0.18,0.18,0.0
Echinodermata,20,1.4046173433790996e-21,0.06,0.17,0.0
Eleutherozoa,22,4.796905217492275e-17,0.1,0.09,0.0
Crinoidea,11,0.4501302631293356,0.44,0.59,0.0
Asterozoa,22,5.57009114754178e-17,0.0,0.0,0.0
Antedon,11,0.9210093726146227,0.0,0.0,0.0
Echinozoa,23,8.275835947332459e-08,0.06,0.15,0.0
Asteroidea,22,0.00882675057575688,0.0,0.0,0.0
Ophiuroidea2,23,8.47745528695618e-07,0.21,0.35,0.0
Echinoidea,22,2.4764611053769702e-05,0.2,0.36,0.0
Holothuroidea,23,0.05750735591585793,0.0,0.0,0.0
Spinulosida,22,0.03890163930647005,0.0,0.0,0.0
Forcipulatida,22,0.45079343294172164,0.0,0.0,0.0
Ophiuroidea1,23,0.00014291572191448004,0.0,0.0,0.0
Euechinoidea,21,7.918614120809206e-05,0.06,0.11,0.0
Dendrochirotida,23,0.14595043151279388,0.0,0.0,0.0
Holothuriidae,23,0.7154720765129521,0.0,0.0,0.0
Valvatida2,22,0.08425742108934822,0.0,0.0,0.0
Forcipulatidae2,22,0.5279859626179131,0.0,0.0,0.0
Ophiurida,25,0.0008816167407975758,0.0,0.03,0.0
Camarodonta2,21,0.0011001628707963456,0.0,0.0,0.0
Stichopodidae,23,0.4295467578137012,0.0,0.0,0.0
Paxillosida,22,0.3204305695445996,0.0,0.0,0.0
Valvatida1,22,0.44903994497891647,0.0,0.0,0.0
Forcipulatidae1,22,0.622393165177918,0.0,0.0,0.0
Ophiodermatidae,25,0.6110183152727483,0.0,0.0,0.0
Camarodonta1,21,0.0018540683388641635,0.0,0.0,0.0
Echinometridae,21,0.6505054513123876,0.0,0.0,0.0
Stichopus,23,0.9038178888480753,0.0,0.0,0.0
Asterinidae,22,0.6297361970473547,0.0,0.0,0.0
Asterias2,22,0.7090822642260739,0.0,0.0,0.0
Toxopneustidae,20,0.022513988500365685,0.07,0.04,0.0
Heliocidaris,21,0.8738142795631618,0.0,0.0,0.0
Asterias1,22,0.9472405767120164,0.0,0.0,0.0
Lytechinus,19,0.923693699147661,0.01,0.02,0.0
